SMILEScurated,Solubility
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,-3.178447129
CC1=CC=C(NC2=CC=C(NC3=CC=C(C)C=C3S([O-])(=O)=O)C3=C2C(=O)C2=CC=CC=C2C3=O)C(=C1)S([O-])(=O)=O,-1.427031257
O,-4.229152992
CC(=C)C(=O)OCCOC1=CC=CC=C1,-2.95264717
CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,-4.151088918
CF,-0.175874376
C(COC1=CC=CC=C1)OC1=CC=CC=C1,-3.988526528
CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2Cl)=C(Cl)C(CC)=C1N,-7.278038713
CC1=CC(C)=C(NC2=CC(=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)S([O-])(=O)=O)C(C)=C1CNC(=O)C1=CC=CC=C1,-1.439605121
CCCC(CCC)C([O-])=O,-1.857977427
S=C1[N-]C2=CC=CC=C2S1,-4.285895804
OC1=CC=CC=C1,-4.034756761
CCCCCCC=CC1CC(=O)OC1=O,-4.021753515
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-5.229282852
CC1=CCC2CC1C2(C)C,-4.772570424
C[Si](C)(C)O[Si](C)(C)C,-4.909505216
FC(=C)C(F)(F)F,-2.759957367
O=C1OC2=CC=CC=C2C=C1,-1.886030361
CC(=C)C1CCC(C)=CC1,-3.84649653
CCN(CC)C1=CC=C([C+](C2=CC=C(C=C2)N(CC)CC2=CC=CC(=C2)S([O-])(=O)=O)C2=CC=C(C=C2)N(CC)CC2=CC=CC(=C2)S([O-])(=O)=O)C(C)=C1,-0.62297793
S=[W]=S,-4.139133643
CC1=NN(C(=O)C1N=NC1=CC=C(C2=CC=C(C=C2S([O-])(=O)=O)N=NC2C(C)=NN(C2=O)C2=CC=CC=C2)C(=C1)S([O-])(=O)=O)C1=CC=CC=C1,-1.642781181
CC(=O)OC1CC2CCC1(C)C2(C)C,-3.088778192
O[Si]([O-])=O,-6.6197116
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,-4.135942613
[O-]S(=O)(=O)C1=CC=C(NN=C2C=CC(=O)C(=N[N-]C3=CC=C(C4=CC=CC=C34)S([O-])(=O)=O)C2=O)C2=CC=CC=C12,-2.603841144
CCCOCC(C)OCC(C)O,-0.070052651
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.170824759
CCCCCCCCC=CCCCCCCCC([O-])=O,-4.410087437
CCN(CC[N+]1=CC=CC=C1)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,-1.521890085
O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,-4.216916663
CCCCC(CC)C(=O)OC=C,-4.151910976
CC(=C)C(=O)NCNC(=O)C(C)=C,-1.189236756
C1CC=CCCC=C1,-2.965977173
CO[Si](CCCN=C=O)(OC)OC,-3.256981001
CCO[Si](CCCCl)(OCC)OCC,-3.32858345
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,-4.387683254
CC1=CC(C)=C(C(C)=C1NC1=CC=C(NC2=C(C)C=C(C)C(=C2C)S([O-])(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S([O-])(=O)=O,-1.79226117
OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,-3.345107824
CCCCCCCCCC=CCC1CC(=O)OC1=O,-4.425503245
CC(C)CC(C)CC(C)C=C(C)C1CC(=O)OC1=O,-4.425503245
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,-5.345705158
CCCCCCCCCC(=O)OC1=CC=C(C=C1)C([O-])=O,-5.42454755
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.676541809
COC1=CC=C(C=CC(=O)OCCC(C)C)C=C1,-5.49192521
CCCCCCCCCCCCCCCC(=O)NCC([O-])=O,-5.593122622
C1CC=CCCC=CCCC=C1,-5.365156254
CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,-6.102526939
BrCC1=CC=C(C=C1)C1=CC=CC=C1C#N,-6.656649109
CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)[NH2+]C(C)(C)C1,-6.214524895
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545253
COC1CC(OC2C(C)OC(CC2OC)OC2C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)OC5CC(CC=C2C)OC2(C5)OC(C5CCCCC5)C(C)C=C2)C34O)OC(C)C1O,-7.555881514
C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,-6.183335848
C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,-6.178796616
CCCCOC(=O)C1=CC=C(C=C1)C(=O)OCCCC,-6.40319542
CCC(CC)CC1(CCCCC1)C#N,-6.587338232
COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)[N+]([O-])=O,-6.929013035
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.252394502
CCCCN(CCCC)C1=CC=C2C(OC3=CC(C)=C(NC4=CC=CC=C4)C=C3C22OC(=O)C3=CC=CC=C23)=C1,-7.404250358
FC1(F)OC2=CC=CC(C=O)=C2O1,-2.155833357
CCNC1=CC(C#N)=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O,-7.638280591
CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH3+],-8.25019206
CCCCC(CC)COC(=O)C1=CC=C(NC2=NC(NC3=CC=C(C=C3)C(=O)OCC(CC)CCCC)=NC(NC3=CC=C(C=C3)C(=O)NC(C)(C)C)=N2)C=C1,-8.185258765
O=[V]=O,-4.400250091
CCCCCCCCCCCC[N+]1=CC=CC=C1,-0.453910537
CC1=CC=CC(C)=C1OCC([O-])=O,-2.256644531
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.825456144
OCC1=CC(=NNC2=CC=C(C3=CC=CC=C23)S([O-])(=O)=O)C(=O)C(=N[N-]C2=CC=C(C3=CC=CC=C23)S([O-])(=O)=O)C1=O,-0.817164744
CC(=O)C1=CC=C(O)C=C1,-1.138382451
O.O.[Mg++].[Ca++],-1.988356233
NC1=CC=C2C=C(C(=NNC3=CC=C(N=NC4=CC=CC(C([O-])=O)=C4O)C4=CC=CC=C34)C(=O)C2=C1)S([O-])(=O)=O,-2.786820452
CC(C)=CCCC(C)=CC=CC(C)=O,-3.297212067
C=CN1CCN(C=C)C1=O,-1.155886444
NC1=CC(=CC=C1O)[N+]([O-])=O,-2.205601857
[Mg++],-2.402069338
O=[Ca],-1.768326879
[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1,-3.274087547
CC1=CC=C(C=C1)S(=O)(=O)C(=CN1CC(=O)NC1=S)C#N,-3.529299295
CCC1=C(O)C(=O)C=CO1,-1.17595802
COC(=O)CC1=CC=CC=C1,-2.211401723
[O-]S([O-])(=O)=O,-4.226296416
CC1=C(Cl)C=CC=C1[N+]([O-])=O,-3.27068643
O.O.[Ca++],-1.910729926
OP([O-])([O-])=O,-3.055986963
CCCCCCCl,-3.122388733
CC(=C)C(=O)OCC(F)(F)F,-2.268475684
[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O,-2.642008137
CCCCCCC(C)=O,-2.153696327
CCCCCC=CCC(CC([O-])=O)C([O-])=O,-2.404240574
CCCC(CCC)(C([O-])=O)C(CCC)(C=CC)C([O-])=O,-3.495359601
CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C12C,-3.526422567
CC1=NC2=CC=CC=C2C1=NNC1=CC(Cl)=C(C=C1Cl)S(=O)(=O)NCCS([O-])(=O)=O,-3.756179517
CC(C)(O)C(=O)C1=CC=C(CC2=CC=C(C=C2)C(=O)C(C)(C)O)C=C1,-4.536378597
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba++],-8.744859544
C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,-4.493085819
O=C(NC1=CC=CC=C1)NC1=CC=CC=C1NS(=O)(=O)C1=CC=CC=C1,-4.578402879
O.O.O.[K+].[K+].[Ti+4],-5.583643126
CCCCC(CC)COC(=O)C=C,-4.283204614
CCCCC(CC)COP([S-])(=S)OCC(CC)CCCC,-4.928855971
CC(=O)OC1CC2CC1C1CCCC21,-3.338049828
CCS,-0.84591656
CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.595175443
CC(CCC=C(C)C)CC=O,-3.243750947
CC(C)C12CCC(C)(O1)C(O)C2,-0.288092629
CC(C)C1=CC=C(CCC=O)C=C1,-3.302656786
CCCCBr,-2.197764187
CCCCCCCCCCCC(=O)NC(CCC([O-])=O)C([O-])=O,-3.60911048
CCCOC(C)OCCC1=CC=CC=C1,-3.384192904
COC(OC)C(C)(C)CC=C(C)C,-3.339761604
COC(C)(C)C1CCC(C)=CC1,-3.296613578
[Co+3].CCN(CC)C1=CC2=[O+]C3=CC(=CC=C3C(C3=CC=CC=C3C([O-])=O)=C2C=C1)N(CC)CC.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1,-3.235762244
[O-][N+](=O)C1=CC(Cl)=CC=C1Cl,-3.364225398
CCC(C)=CCCC(C)(O)C#C,-2.302767888
CO[Si](CCCOC(=O)C(C)=C)(OC)OC,-3.477980722
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-3.680444963
O=C1C=CC(=O)N1C1=CC=CC=C1,-2.327317556
CC1=CC(=O)N(N1)C1=CC=C(C)C=C1,-2.365667988
OB(O)C1=CC=C(C=O)C=C1,-2.267384667
CC(=O)CC(C)(C)C1=CC=CC=C1,-2.337666283
CCCCCOC(=O)CC,-2.250522404
FC(F)=C(F)Cl,-2.160954298
CCCCCCCCCCCCOCCO,-1.459377408
[NH3+]CCCCCCCCCCC([O-])=O,-2.400775362
NC(NC1=CC=C(Cl)C=C1)=NC(=[NH2+])NCCCCCCNC(=[NH2+])N=C(N)NC1=CC=C(Cl)C=C1,-2.800595088
CC=C1CC2CC1C=C2,-3.176796415
CCN(C(=O)N(CC)C1=CC=CC=C1)C1=CC=CC=C1,-3.525627796
CCCCOC(=O)C1=CC=CC=C1N,-3.383020526
OC1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-4.413922406
CCCC[Sn](CCCC)(CCCC)CCCC,-4.596065772
CO,-3.994369951
[Cd++],-4.111293422
[O-]S(=O)(=O)C1=CC=CC2=CC(NC3=CC=CC=C3)=CC(NC3=CC=CC=C3)=C12,-4.672502907
CCC(C)(OOC(C)(C)C)OOC(C)(C)C,-4.45076092
S(C1=CC=CC=C1)C1=CC=CC=C1,-4.360607869
CCOCCCNS(=O)(=O)C1=CC=C(OC2=CC(O)=C3C(=O)C4=CC=CC=C4C(=O)C3=C2N)C=C1,-4.787470096
ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,-4.553119611
CC1=NN(C(=O)C1N=NC1=CC(Cl)=C(Cl)C=C1S([O-])(=O)=O)C1=CC=CC(=C1)S([O-])(=O)=O,-3.839084061
CCO,1.233668218
COC1=CC=C(OC)C=C1,-2.245531528
C(CC1=CC=CC=C1)OC1CCCCC1,-2.418090055
CCC(C)(CCC(C)C)C([O-])=O,-2.716017407
CC=CC(=O)C1C(C)C=CCC1(C)C,-3.396366501
O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1,-3.557960056
CCCCCC=CCCC=O,-3.301742894
CN(CCO)C1=NC(NC2=CC=C(C=CC3=CC=C(NC4=NC(=NC(NC5=CC=CC=C5)=N4)N(C)CCO)C=C3S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)=NC(NC2=CC=CC=C2)=N1,-3.069321152
CC1=CC(C)=C(C)C(O)=C1,-2.252203004
CC(F)(F)F,-2.043101387
CC(C)(O)C(=O)C1=CC=C(OCCO)C=C1,-1.469930479
CN=C=S,-0.98322259
CN(C(=O)N(C)C1=CC=CC=C1)C1=CC=CC=C1,-3.497557581
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505
CC(C)CCCCCCCO,-3.324378497
CCC([O-])=O,-0.437662317
CCOC(=O)C1OC1C1=CC=CC=C1,-2.409651238
CC(C)CCCC(C)(C)O,-2.286983634
CCC(=O)OCC1=CC=CC=C1,-2.344979827
CC(=O)OC1(CCCCC1)C#C,-2.352215179
CC[NH+](CC)CC,-0.137682984
CCCCCCCCC=CCCCCCCCC[NH2+]CCCNCCC[NH3+],-3.718391335
CSC,-0.931218902
CNC([S-])=S,0.747325108
NC1=CC(Cl)=C(Cl)C=C1Cl,-3.435950486
ClC1=CC=CC(=N1)C(Cl)(Cl)Cl,-3.506108364
OC1=CC2=CC=CC=C2C=C1C([O-])=O,-3.417245584
CC=CC=C,-2.454265074
CC(C)C1=CC=CC(=C1)C(C)CC=O,-3.677346846
NC1=C(N=NC2=CC(NC3=NC(Cl)=NC(NC4=CC=CC(=C4)S(=O)(=O)CCOS([O-])(=O)=O)=N3)=CC=C2S([O-])(=O)=O)C(=CC2=C1C(=O)C(=NNC1=C(C3=CC=CC(=C3C=C1)S([O-])(=O)=O)S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,-1.277021164
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,-3.922851514
CCCCC,-3.006984006
COC1=CC(C=CC)=CC=C1O,-2.364737497
CC1=CC=C(C=O)C=C1C,-2.277035079
CC([NH3+])C1=CC=CC=C1,-0.594139338
[O-]C(=O)C1=CC=CC=C1C1=C2C=C(I)C(=O)C(I)=C2OC2=C(I)C([O-])=C(I)C=C12,-1.099315041
CCCCOC(C)=O,-1.219958563
NC1=CC=C(C2=CC=C(N)C=C2S([O-])(=O)=O)C(=C1)S([O-])(=O)=O,-2.691927271
COC1=CC(C=O)=CC(=C1[O-])[N+]([O-])=O,-2.44968993
CCN(CC)C1=CC=CC(NC(C)=O)=C1,-2.469378031
O=[Pb],-3.502355132
CC1=CC=CC=C1NC(=[NH2+])NC1=CC=CC=C1C,-3.533884584
CCCC(CC)COC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,-7.09873715
CC12CCCC(C)(C)C3C(CCC13)C2=C,-4.412762427
OC1=CC=CC=C1C(=O)OCCC1=CC=CC=C1,-4.489105335
CC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,-4.567302938
OP([O-])([O-])=O,-4.605114666
CCC(C)(C)C1CCCCC1OC(C)=O,-4.446203904
N#CC(=C1CCCCC1)C1=CC=CC=C1,-4.420023997
[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,-4.620257788
[O-][N+](=O)C1=CC=C(CCC2=CC=C(C=C2)[N+]([O-])=O)C=C1,-4.5898858
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,-4.469462233
CCCCCCCCCC1=CC=C(O)C=C1,-4.49802684
COC1=CC=C(C=C1[N+]([O-])=O)C(=O)NC1=CC=C(C=C1)C(N)=O,-4.653605269
CCCCCCCCCCCCCCCCCC[NH+](C)C,-4.678690034
CCCC[N+](CCCC)(CCCC)CCCC,1.332024844
[Cd++],-3.323633394
FC1=CC=C2OC(CCC2=C1)C1CO1,-3.052101177
CC(C)=CCCC(C)=CCO,-2.351909504
COC1=CC=CC=C1OC,-1.314975067
NC1=C(N)N(CCO)N=C1,0.444259344
[O-]S(=O)(=O)C1=CC(=CC=C1)S([O-])(=O)=O,0.370947285
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-2.778562332
CCCCCCOC,-2.245085326
[O-][N+](=O)C1=CC(=CC=C1Cl)C(F)(F)F,-2.533704672
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7709815
CC(C)C1=CC=C(C=C1)C(C)CC=O,-3.459862901
CC1CC(C)=CC(C)C1CO,-2.371197393
CCC(C)=CCCC(C)(O)C=C,-2.409128664
O=C(OCC1CO1)C1=CC=C(C(=O)OCC2CO2)C(=C1)C(=O)OCC1CO1,-2.762296476
CC1CC(C)(CO1)C1=CC=CC=C1,-2.433237945
CCCCC(CC)C(=O)OCC,-3.423291255
OC1=CC=CC2=CC=CN=C12,-2.349605255
CCN(C1=CC=CC(=C1)S(=O)(=O)CCOS([O-])(=O)=O)C1=NC(Cl)=NC(NC2=CC=C3C(=C2)C=C(C(=NNC2=CC=C(OC)C=C2S([O-])(=O)=O)C3=O)S([O-])(=O)=O)=N1,-1.161671108
[Zn++],-2.185828855
CCOC1=CC=CC=C1OCC,-2.41045076
CC=CC,-1.939465074
OCC(O)C(O)C(O)CO,0.625274489
CC(=C)C=C,-2.025733236
CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH2+]CCC[NH2+]CCCN,-3.836075758
CC(C)CCCC(C)CCO,-3.393259787
CCN1C(=O)C(CS([O-])(=O)=O)=C(C)C(=NNC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(NN=C3C(C)=C(CS([O-])(=O)=O)C(=O)N(CC)C3=O)C=C2)C1=O,-2.10218738
CC(=O)C1=CC=CC=C1,-1.28038684
CCCCCC(O)C(C)=CCC,-3.431863898
CCCCOC(=O)CCC,-2.361047779
[O-]C(=O)C1=CC=CC=C1C([O-])=O,-1.424573276
O=CC1CCC2C3CCC(C3)C12,-2.419967647
CC(C)C1=CC=CC=C1C(C)C,-2.497713585
CC1=CC=CC(C)=C1O,-1.292396158
[Re],-0.475507957
CCC(O)C1=CC=CC=C1,-2.340367591
CC(=O)C1=CC=CC(=C1)C(F)(F)F,-2.482107917
NC1=CC=C(Cl)C=C1Cl,-2.417174258
CC(=O)OC1CC2CCC1(C)C2(C)C,-3.496323842
NNS(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)NN)C=C1,-3.758489195
OP([O-])([O-])=O,-3.468385388
CCC=CCCC=CC=C,-3.34190657
OCC=CCO,0.846685164
CCOCCOCCOCCOC(=O)C(C)=C,-0.603011426
CC(=O)OCC1=C(N2C(SC1)C([NH3+])C2=O)C([O-])=O,-2.648977722
CCCCCCCCCC([O-])=O,-3.445216137
CC(C)C,-2.977604072
CCCC,-2.977604072
CC,-2.691382006
CC1(C)C2CC1C(CCC=O)=CC2,-3.46576061
OC1=CC=C(CC([O-])=O)C=C1,-0.399080411
COC1=CC=C(COC(C)=O)C=C1,-2.474006642
[F-],1.023394133
NC1=NC(N)=[NH+]C(=N1)C1=CC=CC=C1,-2.494168514
CC(C)(C)C1CCC(CC1)OC(=O)C=C,-3.539328096
BrC1=CC=C(Br)C(C=C)=C1,-4.578730408
CC1=CC=CC=C1NC(=O)C1=CC2=CC=CC=C2C=C1O,-4.623441954
COC(=O)C1=NC(Cl)=C(Cl)N=C1N,-4.534838609
O1[Pb]2O[Pb]1O[Pb]O2,-4.008053211
CCCCCCCCC=CCCCCCCCC(=O)N(CCCC)CCCC,-4.788985441
CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.544220436
CCCCCCCCCOC(C)=O,-4.47086065
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-5.405053261
CCCCCCCCCCCCCC,-5.041697833
C1=CC2=CC=CC=C2C=C1,-4.311225605
OC1=CC=CC=C1C(=O)OC1CCCCC1,-4.554076293
CC(=C)C1CCC(C)=CC1,-4.346837785
CCC=CCCOC(=O)CC=CCC,-4.509709484
CCC12CCC3C(CCC4=C3CC=C(C4)OC)C1CCC2O,-4.702513826
CCCCCCCCCCCC(=O)OCC(O)CO,-4.660234439
COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,-4.580253828
CC1CCC2C(C)(C)C3CC12CC(C(C)=O)=C3C,-4.613478878
CCOC(=O)C1=CC=CC=C1,-2.39990224
[O-]C(=O)CCC1=CC=CC=C1,-1.405751413
CC(C)=CCCC(C)=CC=O,-2.411668206
CCCCCCC1CCCC1=O,-3.451515538
CC(C)C(=O)C(C)(C)CC=C(C)C,-3.489215864
OC1=CC=C(C=C)C=C1C=C,-3.394062684
NC1=CC=C(Cl)C=C1O,-2.390659928
CCOC1=CC=C(C=C1)C([O-])=O,-2.454899746
O.O.[Pb++].[Pb++].[Pb++].OC([O-])=O.OC([O-])=O,-5.547231918
NC1=C(Cl)C=C(C=C1Cl)C(F)(F)F,-3.591642752
C[NH2+]CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,-3.657617041
CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1,-3.703092646
CCCCCCCCC(O)CO,-2.478578955
CCC(C)C1CCCCC1=O,-2.427057806
COC1=CC(C=O)=CC=C1OC(=O)C(C)C,-2.588667606
CC1=CC=CC=C1,-2.206298299
CC1=CC(N=NC2=C(O)C(=CC3=CC=CC=C23)C([O-])=O)=C(C=C1Cl)S([O-])(=O)=O,-3.944100371
CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2O,-3.700359651
CCC1=CC=C(CC(C)(C)C#N)C=C1,-3.351339264
ClCCCCCCCl,-3.43464733
CCC(=O)OC1C=CC2C3CCC(C3)C12,-3.558592794
CCOC1=CC=CC=C1,-2.331841643
