SMILES,LogS
CC1C/C=C\C=C/C=C\C=C/C(OC2OC(C)C(O)C([NH3+])C2O)CC2OC(O)(CC(O)CC3OC3/C=C\C(=O)O1)CC(O)C2C(=O)[O-],-3.21
Ic1[nH]c(I)c(I)c1I,-3.46
Cc1cccc(Nc2ccccc2C(=O)[O-])c1C,-3.78
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,-3.89
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,-4.16
C[NH+](C)CCCN1c2ccccc2Sc2ccccc21,-4.3
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-7.33
Cn1c(=O)c2nc[nH]c2n(C)c1=O,-1.37
Cc1cc(=O)n(-c2ccccc2)n1C,0.39
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.76
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.6
CCCC[c-]1c(=O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.81
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.96
COc1ccc2cc(C(C)C(=O)[O-])ccc2c1,-4.16
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.3
CC(CCC(=O)[O-])C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,-4.35
O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1,-4.36
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.61
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1[O-],-4.7
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
CC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,-4.92
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93
CCCCCCCCCCCCCC(=O)[O-],-5.33
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47
Cc1ccc([NH+]=CN(C)C=[NH+]c2ccc(C)cc2C)c(C)c1,-5.47
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53
CCCCCCCCCCCCCCCCCC(=O)[O-],-5.68
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
Clc1ccc(-c2ccccc2)cc1Cl,-6.39
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9
O=C1CCCN1,1.07
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0.51
O=C([O-])C(=O)[O-],0.38
C=C(C)C(=O)[O-],0.01
CCCCOCCO,-0.42
Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.62
O=C([O-])CCCCC(=O)[O-],-0.82
CCCCCC(=O)[O-],-1.06
Cc1cc(O)c2ccccc2n1,-1.2
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23
CNC(=NC#N)NCCSCc1nc[nH]c1C,-1.35
C[NH+](C)C1C([O-])=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.42
Nc1cccc(C(F)(F)F)c1,-1.47
Oc1ccnc(S)n1,-2.26
c1ccc2[nH]c(-c3cscn3)nc2c1,-2.6
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.23
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.5
CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,-2.76
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.57
CC(C1=C(CC[NH+](C)C)Cc2ccccc21)c1ccccn1,-3.09
CC[NH+](CC)CCOC(=O)C(c1ccccc1)c1ccccc1,-2.0
C=C1c2cccc(O)c2C([O-])=C2C(=O)C3(O)C([O-])=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,-1.77
CN(C)C1C(=O)C(C(N)=O)=C([O-])C2(O)C(=O)C3=C([O-])c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
CN(C)C1C(=O)C(C(N)=O)=C([O-])C2(O)C(=O)C3=C([O-])c4c(O)cccc4C(C)(O)C3C(O)C12,-3.17
CN(C)C1C(=O)C(C(=O)NCN2CCCC2)=C([O-])C2(O)C(=O)C3=C([O-])c4c(O)cccc4C(C)(O)C3CC12,-1.42
CCC[c-]1c(=O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,-3.54
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,-6.0
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CC[NH+]1CC1CC1)C2O5,-4.37
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-1.03
C[NH+](C)CCCOc1nn(Cc2ccccc2)c2ccccc12,-3.78
COc1cc(NC(C)CCC[NH3+])c2ncccc2c1,-2.77
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-3.48
O=C(CCC[NH+]1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,-4.28
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,-1.81
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,-4.57
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,-3.94
CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-4.33
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C,-5.01
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)[O-],-2.04
Nc1cc(N2CCCCC2)nc(=[NH2+])n1O,-2.04
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,-5.85
O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,-3.73
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,-2.07
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,-4.0
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,-5.16
CC(C)=CC[NH+]1CCC2(C)c3cc(O)ccc3CC1C2C,-3.8
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.0
CN(C)c1ccc(O)c2c1CC1CC3C([NH+](C)C)C([O-])=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,-0.94
CNC(=NCCSCc1nc[nH]c1C)NC#N,-1.61
COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.64
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-4.76
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-5.79
COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,-3.42
NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,-2.87
Nc1ccc(N=Nc2ccccc2)c(N)n1,-4.24
NC(CCSCc1csc([NH+]=C(N)N)n1)=NS(N)(=O)=O,-2.48
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,-4.88
OCC1CCC(n2cnc3c(O)ncnc32)O1,-0.9
CC(C)n1c(C=CC(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,-3.83
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.1
CN1C(C(=O)Nc2ccccn2)=C([O-])c2sccc2S1(=O)=O,-3.88
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,-2.2
CCCS(=O)CCC[NH+](CC)CC(O)COc1ccc(C#N)cc1,-1.17
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
CC1c2cccc(O)c2C([O-])=C2C(=O)C3(O)C([O-])=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,-2.53
CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,-1.97
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-3.8
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1,-3.45
NC(N)=NS(=O)(=O)c1ccc(N)cc1,-1.99
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.68
CCCC1(CCc2ccccc2)CC(O)=C(C(CC)c2cccc([N-]S(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,-6.3
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,-7.59
Cc1ccc(O)c(C(CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,-2.58
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92
N#CN=C(N)N,-0.31
Oc1ncc2nccnc2n1,-1.947
Oc1ccccn1,1.02
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678
Oc1ccncc1,1.02
O=c1[nH]cnc2[nH]ncc12,-2.266
Nc1nc[nH]n1,0.522
ClCBr,-0.89
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
OC1C(O)C(O)C(O)C(O)C1O,0.35
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],-1.456
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1,-2.943
Nc1nc2[nH]cnc2c(=O)[nH]1,-3.583
Nc1nc(O)nc2nc[nH]c12,-3.401
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244
OCC(O)C(O)C(O)C(O)CO,0.06
CCCC(=O)OC,-1.92
O=C1c2ccccc2Cc2ccccc2N1CCF,-4.799
O=c1ccnc([S-])[nH]1,-2.273
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-3.93
CCCC(C(C)=O)C(C)=O,-0.88
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,1.32
Oc1ccc2ccccc2n1,-2.14
Sc1ncnc2nccnc12,-2.36
CN(C)C1C(=O)C(C(N)=O)=C([O-])C2(O)C(=O)C3=C([O-])c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52
Sc1ncc2nccnc2n1,-2.77
Clc1cc(Cl)c2snnc2c1Cl,-4.98
C1CCC([Sn](C2CCCCC2)C2CCCCC2)CC1,-5.59
O=CC(O)C(O)C(O)C(O)CO,0.74
Oc1ncnc2[nH]cnc12,-2.29
Sc1cnc2ncncc2n1,-2.71
CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C([NH3+])CC1N=C(N)C(=O)[O-],-2.93
CCOC(=O)Cc1c([O-])c2ccccc2oc1=O,-3.66
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,-3.88
ClC=C(Cl)C(Cl)=C(Cl)Cl,-4.23
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,-6.7
CC(=O)[O-],1.22
C[N+](C)(C)CC(=O)[O-],0.72
CC(=O)CC(C)=O,0.22
CCCC(=O)[O-],-0.19
Brc1ccc(Oc2ccc(Br)cc2)cc1,-6.4
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,-6.76
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,-7.51
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,-7.43
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,-7.91
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,-7.97
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-7.78
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,-7.15
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,-8.87
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-8.87
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,-8.68
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-7.05
CO[P+](O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],-0.53
Cc1cc([O-])no1,-0.07
O=C1CC=NC=N1,0.59
C[NH+](C)C1C([O-])=CC(=O)C2(O)C(O)=C3C(=O)c4ccccc4C(C)(O)C3CC12,-1.42
Cc1cc(O)ccc1O[P+](O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.7
Cc1ccc(O[P+](O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01
CCO[P+](O)(OCC)OCC,0.43
CNC(=O)C=C(C)O[P+](O)(OC)OC,0.65
CCO[P+]([S-])(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CCO[P+]([S-])(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64
CCO[P+]([S-])(OCC)ON=C(C#N)c1ccccc1,-4.86
OCCO,0.08
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,-8.56
CCOC(=O)CC(S[P+]([S-])(OC)OC)C(=O)OCC,-3.36
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-10.22
CNC(=O)ON=CC(C)(C)SC,-0.71
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,-3.82
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,-5.66
CCO[P+]([S-])(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.29
CC[NH+](CC)CC1CC([NH2+]C2CC[NH2+]C3CC(Cl)CCC32)CCC1O,-3.0743
C[NH+]1C2CCC1CC(OC(=O)C(CO)C1CCCCC1)C2,-1.7142
C1CCC(CN2CC[NH2+]C2)CC1,-1.0638
C[NH+](C)CC1C[NH2+]C2CCC(Br)CC12,-2.4352
CCCC[NH+]1CCCCC1C(=O)NC1C(C)CCCC1C,-2.6342
CC(C(=O)[O-])C1CCC2C(C1)[NH2+]C1CCC(Cl)CC12,-1.8536
COC1CCCCC1OCC[NH2+]CC(O)COC1CCCC2[NH2+]C3CCCCC3C21,-4.5496
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CC3CCCS3)C2SC1,-5.7905
[NH3+]C1CCC(Br)CC1C(=O)[O-],-3.2078
C[NH+](C)CCCN1C2CCCCC2SC2CCC(Cl)CC21,-2.2577
CCCNC(=O)[N-]S(=O)(=O)C1CCC(Cl)CC1,-4.0552
C[NH+](C)CCC=C1C2CCCCC2SC2CCC(Cl)CC12,-3.2241
O=C1NC2CC(Cl)CCC2O1,-4.6983
CN=C(NC#N)NCCSCC1NC[NH2+]C1C,-4.2557
O=C([O-])C1=CN(C2CC2)C2CC(N3CC[NH2+]CC3)C(F)CC2C1=O,-2.938
C[NH+]1CC2CC1CN2C1CC2C(CC1F)C(=O)C(C(=O)[O-])=CN2C1CC1,-2.6667
C[NH2+]CCC[NH+]1C2CCCCC2CCC2CCCCC21,-3.2484
OC1CCC(I)CC1,-2.6565
O=C([O-])CC1CCCCC1[NH2+]C1C(Cl)CCCC1Cl,-1.6916
C[NH+]1CCN(C2CC3C(CC2F)C(=O)C(C(=O)[O-])=CN3C2CCC(F)CC2)CC1,-3.5965
COC1CCC(C2SC3CCCCC3N(CC[NH+](C)C)C(=O)C2OC(C)=O)CC1,-2.8996
C[NH+](C)CCOC(C1CCCCC1)C1CCCCC1,-2.5125
O=C1NC(=O)C(C2CCCCC2)(C2CCCCC2)N1,-3.6277
CC[NH+]1CCN(C2CC3C(CC2F)C(=O)C(C(=O)[O-])=CN3C2CC2)CC1,-3.3621
NC(CCSCC1CSC([NH+]=C(N)N)N1)=NS(N)(=O)=O,-5.4559
CC(C(=O)[O-])C1CCCC(OC2CCCCC2)C1,-3.5998
O=C([O-])C1CCCCC1[NH2+]C1CCCC(C(F)(F)F)C1,-3.1589
CC1CCC2CC(F)CC3C(=O)C(C(=O)[O-])=CN1C23,-2.9457
O=C([O-])C1CC(Br)C(O)CC1O,-3.8561
CC(C(=O)[O-])C1CCC(C2CCCCC2)C(F)C1,-3.1811
CC1CNC(C(=O)NCCC2CCC(S(=O)(=O)[N-]C(=O)NC3CCCCC3)CC2)C[NH2+]1,-2.6468
NC1=NC2NCNC2C(=O)N1,-3.6982
NS(=O)(=O)C1CC2C(CC1C(F)(F)F)NCNS2(=O)=O,-3.7326
CC(C)CC1CCC(C(C)C(=O)[O-])CC1,-5.4881
CCN1C=C(C(=O)[O-])C(=O)C2CC(F)C(N3CC[NH2+]C(C)C3)C(F)C21,-4.4274
CC1CCCC([NH2+]C2CCCCC2C(=O)[O-])C1C,-2.9665
CC(=O)NC1CCC(O)CC1,-1.4644
CC[NH+](CC)CCNC(=O)C1CC(Cl)C([NH3+])CC1OC,-3.5944
ClC1CCC(COC(CN2CC[NH2+]C2)C2CCC(Cl)CC2Cl)C(Cl)C1,-4.6914
C=CC[NH+]1CCC23C4OC5C(O)CCC(CC1C2(O)CCC4=O)C53,-3.5655
COC1CCC2CC(C(C)C(=O)[O-])CCC2C1,-1.2214
O=C([O-])C1CCCNC1[NH2+]C1CCCC(C(F)(F)F)C1,-5.0685
CCN1C=C(C(=O)[O-])C(=O)C2CC(F)C(N3CC[NH2+]CC3)CC21,-2.8978
CC(=O)NC1NNC(S(N)(=O)=O)S1,-4.5789
CC1COC2C(N3CCN(C)CC3)C(F)CC3C(=O)C(C(=O)[O-])=CN1C32,-3.2385
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)C4C(O)CCCC4C(C)(O)C3C(O)C12,-2.7565
COC1CCC(CC2[NH2+]CCC3CC(OC)C(OC)CC32)CC1OC,-4.0168
C1C[NH2+]C2C(C1)CCC1CCC[NH2+]C12,-1.2655
NC1NC([NH3+])CCC1N=NC1CCCCC1,-3.0881
CCC1(C2CCCCC2)C(=O)NC(=O)NC1=O,-3.8672
CCCC[c-]1c(=O)n(C2CCCCC2)n(C2CCCCC2)c1=O,-1.618
CC(C)[NH2+]CC(O)COC1CCCC2[NH2+]CCC21,-2.2935
CN1C(C(=O)NC2CCCC[NH2+]2)=C(O)C2CCCCC2S1(=O)=O,-4.3908
C=CCC1CCCCC1OCC(O)C[NH2+]C(C)C,-1.4927
CC[NH+](CC)CCOC(=O)C1CCC([NH3+])CC1,-3.7881
CC(C)[NH2+]CC(O)COC1CCCC2CCCCC21,-4.8019
C=CC1C[NH+]2CCC1CC2C(O)C1CC[NH2+]C2CCC(OC)CC21,-1.7191
O=C([O-])C1=CN(C2CCC(F)CC2)C2CC(N3CC[NH2+]CC3)C(F)CC2C1=O,-2.7865
CC1CN(C2C(F)C([NH3+])C3C(=O)C(C(=O)[O-])=CN(C4CC4)C3C2F)CC(C)[NH2+]1,-2.5009
CC(=O)[N-]S(=O)(=O)C1CCC([NH3+])CC1,-3.1334
CC1CC(C)NC(NS(=O)(=O)C2CCC([NH3+])CC2)N1,-3.3711
O=C([O-])C1CC(N=NC2CCC(S(=O)(=O)NC3CCCC[NH2+]3)CC2)CCC1O,-1.5199
[NH3+]C1CCC(S(=O)(=O)NC2NCCS2)CC1,-2.7325
CC1=C(CC(=O)[O-])C2CC(F)CCC2C1=CC1CCC(S(C)=O)CC1,-2.6892
CCCC[NH2+]C1CCC(C(=O)OCC[NH+](C)C)CC1,-3.6778
CN(C)C1C(=O)C(=C(N)[O-])C(=O)C2(O)C(=O)C3=C(O)C4C(O)CCCC4C(C)(O)C3CC12,-3.0109
CC1CCC(C(=O)C2CCC(CC(=O)[O-])[NH+]2C)CC1,-2.1857
NS(=O)(=O)C1CC2C(CC1Cl)NC(C(Cl)Cl)NS2(=O)=O,-4.0919
COC1CC(CC2CNC(N)NC2[NH3+])CC(OC)C1OC,-3.18
CC(CN1C2CCCCC2CCC2CCCCC21)C[NH+](C)C,-2.9511
[NH3+]CCC1C[NH2+]C2CCCCC12,-4.7889
COC1CCC(CC[NH+](C)CCCC(C#N)(C(C)C)C2CCC(OC)C(OC)C2)CC1OC,-3.2956
CC(=O)CC(C1=C(O)C2CCCCC2OC1=O)C1CCCCC1,-4.7838
C1=NC=NC2N=C(c3ccccc3)N=C12,-3.065
O=[N+]([O-])c1ccc(-c2nc3cc(Cl)ccc3[nH]2)o1,-4.819
O[P+]1(N(CCCl)CCCl)[NH2+]CCCO1,-0.815
O[P+]1(N(CCCl)CCCl)[NH2+]CCCCO1,-0.962
CCC1(CC)CCC(=O)NC1=O,-4.53
Cc1nc2nc[nH]c(=O)c2nc1C,-2.287
Cc1c(O)c(=O)ccn1-c1ccccc1,-2.027
Cc1ccc(-n2ccc(=O)c(O)c2C)cc1,-3.222
CCO[P+]([S-])(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.399
Cc1nc(=O)[c-](C(N)=O)c(=O)[nH]1,-2.412
Cc1ccc2[nH]c(=O)c(=O)[nH]c2c1,-3.042
Nc1nc(=O)n(-c2ccccc2)[nH]1,-2.468
CCO[P+](O)(OCC)SCCSCC,-2.111
CCO[P+](S)(OCC)SCSC(C)(C)C,-4.284
CCCCO[P+](O)(OCCCC)OCCCC,-2.846
CCc1nc2nc[nH]c(=O)c2nc1CC,-1.912
Nc1[nH]c(=O)[nH]c2nc(=O)[n-]c1-2,-3.456
CCCCO[P+](O)(CCCC)CCCC,-1.717
O=[N+]([O-])C12CO[P+](O)(OC1)OC2,-0.813
CC(=O)OC(OC(C)=O)C(OC(C)=O)OC(C)=O,-2.097
