ID,NAME,SMILES,SDi,Reference,EXTERNALID,CASRN,ARTICLEID,Temperature
CpId_56,"6-methyl-2,4-heptadione",CC(=O)CC(=O)CC(C)C,0.0,Tetko et al. 2001,None,3002-23-1,A64,25.0
CpId_57,metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,0.21521853484650735,Tetko et al. 2001,None,57837-19-1,A64,25.0
CpId_58,trifluoro-o-toluic acid,O=C([O-])c1ccccc1C(F)(F)F,0.001071380951322701,Tetko et al. 2001,None,433-97-6,A64,25.0
CpId_60,fenuron,CN(C)C(=O)Nc1ccccc1,0.07889550754707843,Tetko et al. 2001,None,101-42-8,A64,25.0
CpId_61,N-[4-(aminosulfonyl)phenyl]-acetamide,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,0.29999999999999993,Tetko et al. 2001,None,121-61-9,A64,25.0
CpId_62,anisomycin,COc1ccc(CC2[NH2+]CC(O)C2OC(C)=O)cc1,0.0011319231422672136,Tetko et al. 2001,None,22862-76-6,A64,25.0
CpId_63,thiofanox,CNC(=O)ON=C(CSC)C(C)(C)C,0.001533605048389013,Tetko et al. 2001,None,39196-18-4,A64,25.0
CpId_64,"n,n-diallyldichloroacetamide",C=CCN(CC=C)C(=O)C(Cl)Cl,0.0004749060057377372,Tetko et al. 2001,None,37764-25-3,A64,25.0
CpId_65,"1,3-dichloropropane",ClCCCCl,0.003823915968393331,Tetko et al. 2001,None,142-28-9,A64,25.0
CpId_67,piperonal,O=Cc1ccc2c(c1)OCO2,0.0010728984626287746,Tetko et al. 2001,None,120-57-0,A64,25.0
CpId_69,"1,1-dichloroethylene",C=C(Cl)Cl,0.012245180457814569,Tetko et al. 2001,None,75-35-4,A64,25.0
CpId_70,saccharin,O=C1[N-]S(=O)(=O)c2ccccc21,0.03399614951458746,Tetko et al. 2001,None,81-07-2,A64,25.0
CpId_72,5-butyl-5-ethylbarbituric acid,CCCCC1(CC)C(=O)NC(=O)NC1=O,0.019205323336107773,Tetko et al. 2001,None,77-28-1,A64,25.0
CpId_73,4-chloroaniline,Nc1ccc(Cl)cc1,0.07567205560839484,Tetko et al. 2001,None,106-47-8,A64,25.0
CpId_74,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,0.06857780253113979,Tetko et al. 2001,None,57-53-4,A64,25.0
CpId_75,cyclohexanol acetate,CC(=O)OC1CCCCC1,0.010000000000000009,Tetko et al. 2001,None,622-45-7,A64,25.0
CpId_76,3-nitrobenzoic acid,O=C([O-])c1cccc([N+](=O)[O-])c1,0.05104631339392797,Tetko et al. 2001,None,121-92-6,A64,25.0
CpId_77,"1,2-dibromoethane",BrCCBr,0.024681157905486455,Tetko et al. 2001,None,106-93-4,A64,25.0
CpId_78,dicamba,COc1c(Cl)ccc(Cl)c1C(=O)[O-],0.11662050527244337,Tetko et al. 2001,None,1918-00-9,A64,25.0
CpId_81,Halothane,FC(F)(F)C(Cl)Br,0.1191464683030551,Tetko et al. 2001,None,151-67-7,A64,25.0
CpId_82,aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.0012018504251546643,Tetko et al. 2001,None,77-02-1,A64,25.0
CpId_85,quinhydrone,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,0.0,Tetko et al. 2001,None,106-34-3,A64,25.0
CpId_87,2-nitrophenol,O=[N+]([O-])c1ccccc1[O-],0.003665302776639964,Tetko et al. 2001,None,88-75-5,A64,25.0
CpId_88,"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,0.010129150851364427,Tetko et al. 2001,None,79-34-5,A64,25.0
CpId_89,4-toluenesulfonamide,Cc1ccc(S(N)(=O)=O)cc1,0.0030387967543561998,Tetko et al. 2001,None,70-55-3,A64,25.0
CpId_90,ethyl valerate,CCCCC(=O)OCC,0.16520907965363163,Tetko et al. 2001,None,539-82-2,A64,25.0
CpId_91,2-methylthiopteridine,CSc1ncc2nccnc2n1,0.24652004989452678,Tetko et al. 2001,None,16878-77-6,A64,25.0
CpId_92,salicylamide,NC(=O)c1ccccc1O,0.035216321758267416,Tetko et al. 2001,None,65-45-2,A64,25.0
CpId_93,lidocaine,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,0.013749942148638629,Tetko et al. 2001,None,137-58-6,A64,25.0
CpId_94,sorbic acid,CC=CC=CC(=O)[O-],0.04974362717418632,Tetko et al. 2001,None,110-44-1,A64,25.0
CpId_95,1-phenylthiourea,NC(=S)Nc1ccccc1,0.010316664743441638,Tetko et al. 2001,None,103-85-5,A64,25.0
CpId_96,rhodanine,O=C1CSC(=S)N1,0.0011034038245356847,Tetko et al. 2001,None,141-84-4,A64,25.0
CpId_97,methyl-4-hydroxybenzoate,COC(=O)c1ccc(O)cc1,0.03127572718756687,Tetko et al. 2001,None,99-76-3,A64,25.0
CpId_98,propyl gallate,CCCOC(=O)c1cc(O)c(O)c(O)c1,0.0015533374207998014,Tetko et al. 2001,None,121-79-9,A64,25.0
CpId_99,4-fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,0.06940220937885669,Tetko et al. 2001,None,351-83-7,A64,25.0
CpId_100,nitrobenzene,O=[N+]([O-])c1ccccc1,0.019983351403939583,Tetko et al. 2001,None,98-95-3,A64,25.0
CpId_101,m-tolyl methylcarbamate,CNC(=O)Oc1cccc(C)c1,0.001549193338482911,Tetko et al. 2001,None,1129-41-5,A64,25.0
CpId_104,Salicylic acid,O=C([O-])c1ccccc1O,0.49578253686836976,Tetko et al. 2001,None,69-72-7,A64,25.0
CpId_106,methazolamide,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,0.03995244047614612,Tetko et al. 2001,None,554-57-4,A64,25.0
CpId_107,gibberellic acid,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)[O-],0.0004472135954999087,Tetko et al. 2001,None,77-06-5,A64,25.0
CpId_110,Valproic acid,CCCC(CCC)C(=O)[O-],0.0009258200997725524,Tetko et al. 2001,None,99-66-1,A64,25.0
CpId_111,thebainone a,COc1ccc2c(c1O)C13CC[NH+](C)C1(C=CC(=O)C3)CC2,0.0,Tetko et al. 2001,None,467-98-1,A64,25.0
CpId_113,sparteine,C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1,0.0015861003391066115,Tetko et al. 2001,None,90-39-1,A64,25.0
CpId_114,amyl acetate,CCCCCOC(C)=O,0.004868974909225389,Tetko et al. 2001,None,628-63-7,A64,25.0
CpId_115,meperidine,CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1,0.11874907730635678,Tetko et al. 2001,None,57-42-1,A64,25.0
CpId_116,meconin,COc1ccc2c(c1OC)C(=O)OC2,0.004263032306286745,Tetko et al. 2001,None,569-31-3,A64,25.0
CpId_117,azelaic acid,O=C([O-])CCCCCCCC(=O)[O-],0.045377730142186996,Tetko et al. 2001,None,123-99-9,A64,25.0
CpId_118,chlorodibromomethane,ClC(Br)Br,0.008366999570824771,Tetko et al. 2001,None,124-48-1,A64,25.0
CpId_119,bromoform,BrC(Br)Br,0.1616832572243232,Tetko et al. 2001,None,75-25-2,A64,25.0
CpId_120,hyoscyamine,C[NH+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.21242145847640218,Tetko et al. 2001,None,101-31-5,A64,25.0
CpId_121,p-acetoxy-acetanilide,CC(=O)Nc1ccc(OC(C)=O)cc1,0.0011480832888319638,Tetko et al. 2001,None,2623-33-8,A64,25.0
CpId_122,propyl butyrate,CCCOC(=O)CCC,0.059578129975927985,Tetko et al. 2001,None,105-66-8,A64,25.0
CpId_123,opianic acid,COc1ccc(C=O)c(C(=O)[O-])c1OC,0.003679285644951079,Tetko et al. 2001,None,519-05-1,A64,25.0
CpId_124,n-hexyl carbamate,CCCCCCOC(N)=O,0.0,Tetko et al. 2001,None,2114-20-7,A64,25.0
CpId_126,propionanilide,CCC(=O)Nc1ccccc1,0.1654690303349844,Tetko et al. 2001,None,620-71-3,A64,25.0
CpId_127,isoamyl acetate,CC(=O)OCCC(C)C,0.053083529565309685,Tetko et al. 2001,None,123-92-2,A64,25.0
CpId_128,orotic acid,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1,0.004715728494951259,Tetko et al. 2001,None,65-86-1,A64,25.0
CpId_129,hydrobenzoin,OC(c1ccccc1)C(O)c1ccccc1,0.0013887301496588798,Tetko et al. 2001,None,27134-24-3,A64,25.0
CpId_130,sulfaethidole,CCc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,0.5281592562854504,Tetko et al. 2001,None,94-19-9,A64,25.0
CpId_132,Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,0.0018516401995451045,Tetko et al. 2001,None,23103-98-2,A64,25.0
CpId_133,2-nitroanisole,COc1ccccc1[N+](=O)[O-],0.0014179797835887956,Tetko et al. 2001,None,91-23-6,A64,25.0
CpId_134,urocanic acid,O=C([O-])C=Cc1c[nH]cn1,0.0017888543819998333,Tetko et al. 2001,None,104-98-3,A64,25.0
CpId_136,2-nitroaniline,Nc1ccccc1[N+](=O)[O-],0.006500000000000061,Tetko et al. 2001,None,88-74-4,A64,25.0
CpId_139,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,0.06245210285903235,Tetko et al. 2001,None,71-55-6,A64,25.0
CpId_140,2-toluenesulfonamide,Cc1ccccc1S(N)(=O)=O,0.002138089935299397,Tetko et al. 2001,None,88-19-7,A64,25.0
CpId_143,propoxur,CNC(=O)Oc1ccccc1OC(C)C,0.009612584344377813,Tetko et al. 2001,None,114-26-1,A64,25.0
CpId_144,acetohexamide,CC(=O)c1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1,0.0,Tetko et al. 2001,None,968-81-0,A64,25.0
CpId_145,atropic acid,C=C(C(=O)[O-])c1ccccc1,0.0015883504471171709,Tetko et al. 2001,None,492-38-6,A64,25.0
CpId_147,o-toluic acid,Cc1ccccc1C(=O)[O-],0.04213033984807493,Tetko et al. 2001,None,118-90-1,A64,25.0
CpId_148,vasicinone,OC1CCN2C1=[NH+]c1ccccc1C2O,0.020784609690826544,Tetko et al. 2001,None,486-64-6,A64,25.0
CpId_149,indole-3-acetic acid,O=C([O-])Cc1c[nH]c2ccccc12,0.011322796222034302,Tetko et al. 2001,None,87-51-4,A64,25.0
CpId_151,3-methylacetanilide,CC(=O)Nc1cccc(C)c1,0.00048795003647442956,Tetko et al. 2001,None,537-92-8,A64,25.0
CpId_152,pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,0.0005291502622128598,Tetko et al. 2001,None,87-47-8,A64,25.0
CpId_156,brucine,COc1cc2c(cc1OC)C13CC[NH+]4CC5=CCOC6CC(=O)N2C1C6C5CC43,0.3696712181436493,Tetko et al. 2001,None,357-57-3,A64,25.0
CpId_157,"2,6-dichlorobenzyl alcohol",OCc1c(Cl)cccc1Cl,0.0010517559014288015,Tetko et al. 2001,None,15258-73-8,A64,25.0
CpId_159,o-phthalic acid,O=C([O-])c1ccccc1C(=O)[O-],0.604326730291193,Tetko et al. 2001,None,88-99-3,A64,25.0
CpId_162,adenine,Nc1ncnc2[nH]cnc12,0.057323642591865946,Tetko et al. 2001,None,73-24-5,A64,25.0
CpId_163,dazomet,CN1CSC(=S)N(C)C1,0.20543251933420853,Tetko et al. 2001,None,533-74-4,A64,25.0
CpId_164,m-toluic acid,Cc1cccc(C(=O)[O-])c1,0.026127999941679032,Tetko et al. 2001,None,99-04-7,A64,25.0
CpId_165,2-(1h)quinolinone,O=c1ccc2ccccc2[nH]1,0.00067823299831257,Tetko et al. 2001,None,59-31-4,A64,25.0
CpId_166,isocarbamid,CC(C)CNC(=O)N1CCNC1=O,0.0019341952101872102,Tetko et al. 2001,None,30979-48-7,A64,25.0
CpId_168,2-chlorophenoxyacetic acid,O=C([O-])COc1ccccc1Cl,0.0020205639241133795,Tetko et al. 2001,None,614-61-9,A64,25.0
CpId_169,6-hydroxyquinoline,Oc1ccc2ncccc2c1,0.0010024968827880606,Tetko et al. 2001,None,580-16-5,A64,25.0
CpId_170,cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,0.04660379422711884,Tetko et al. 2001,None,52-31-3,A64,25.0
CpId_171,dulcin,CCOc1ccc(NC(N)=O)cc1,0.0014491376746189988,Tetko et al. 2001,None,150-69-6,A64,25.0
CpId_172,phenallymal,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.09392826276182555,Tetko et al. 2001,None,115-43-5,A64,25.0
CpId_173,carbutamide,CCCCNC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,0.2370232056149776,Tetko et al. 2001,None,339-43-5,A64,25.0
CpId_174,"1,1,1,2-tetrachloroethane",ClCC(Cl)(Cl)Cl,0.007834663007714097,Tetko et al. 2001,None,630-20-6,A64,25.0
CpId_175,Nifuroxime,O=[N+]([O-])c1ccc(C=N[O-])o1,0.0012649110640673997,Tetko et al. 2001,None,None,A64,25.0
CpId_176,3-nitroaniline,Nc1cccc([N+](=O)[O-])c1,0.05969225691590392,Tetko et al. 2001,None,99-09-2,A64,25.0
CpId_177,probarbital,CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.024913523162403847,Tetko et al. 2001,None,76-76-6,A64,25.0
CpId_179,benzilic acid,O=C([O-])C(O)(c1ccccc1)c1ccccc1,0.0004879500364742128,Tetko et al. 2001,None,76-93-7,A64,25.0
CpId_182,dl-2-(2-chlorophenoxy)propionic acid,CC(Oc1ccccc1Cl)C(=O)[O-],0.0016405573965661726,Tetko et al. 2001,None,76466-16-5,A64,25.0
CpId_183,nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.0018856475457165415,Tetko et al. 2001,None,55-63-0,A64,25.0
CpId_184,metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,0.11456450148278913,Tetko et al. 2001,None,50-11-3,A64,25.0
CpId_185,(4-chloro-2-methylphenoxy)acetic acid,Cc1cc(Cl)ccc1OCC(=O)[O-],0.1412909232753471,Tetko et al. 2001,None,94-74-6,A64,25.0
CpId_186,dimethirimol,CCCCc1c(C)nc(N(C)C)nc1O,0.0008944271909998174,Tetko et al. 2001,None,5221-53-4,A64,25.0
CpId_187,sulfisomidine,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(C)n1,0.036083237105337305,Tetko et al. 2001,None,515-64-0,A64,25.0
CpId_188,2-hydroxyacetanilide,CC(=O)Nc1ccccc1O,0.5935024136429439,Tetko et al. 2001,None,614-80-2,A64,25.0
CpId_189,2-thiouracil,O=c1cc[nH]c(=S)[nH]1,0.004035180116355253,Tetko et al. 2001,None,141-90-2,A64,25.0
CpId_191,5-nitrobarbituric acid,O=c1[n-]c(=O)[c-]([N+](=O)[O-])c(=O)[nH]1,0.013680016708427568,Tetko et al. 2001,None,28176-10-5,A64,25.0
CpId_193,caprylic acid,CCCCCCCC(=O)[O-],0.019684144271831662,Tetko et al. 2001,None,124-07-2,A64,25.0
CpId_194,fensulfothion,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,0.05599999999999983,Tetko et al. 2001,None,115-90-2,A64,25.0
CpId_195,"1,2,3,5-tetrafluorobenzene",Fc1cc(F)c(F)c(F)c1,0.0021239703387759814,Tetko et al. 2001,None,2367-82-0,A64,25.0
CpId_196,Tetrachloromethane,ClC(Cl)(Cl)Cl,0.010969582600274435,Tetko et al. 2001,None,56-23-5,A64,25.0
CpId_197,ethyl benzoate,CCOC(=O)c1ccccc1,0.0004423422506008242,Tetko et al. 2001,None,93-89-0,A64,25.0
CpId_199,sulfaphenazole,Nc1ccc(S(=O)(=O)[N-]c2ccnn2-c2ccccc2)cc1,0.00040824829046399937,Tetko et al. 2001,None,526-08-9,A64,25.0
CpId_200,risocaine,CCCOC(=O)c1ccc(N)cc1,0.0848898445886533,Tetko et al. 2001,None,94-12-2,A64,25.0
CpId_201,4-phenylsemicarbazide,NNC(=O)Nc1ccccc1,0.0017888543819998333,Tetko et al. 2001,None,537-47-3,A64,25.0
CpId_202,methyl salicylate,COC(=O)c1ccccc1O,0.4767742614996865,Tetko et al. 2001,None,119-36-8,A64,25.0
CpId_203,"2,4,6-trichlorophenol",[O-]c1c(Cl)cc(Cl)cc1Cl,0.02720367622215796,Tetko et al. 2001,None,88-06-2,A64,25.0
CpId_204,glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,0.0015435888917280215,Tetko et al. 2001,None,77-21-4,A64,25.0
CpId_206,diethyl phthalate,CCOC(=O)c1ccccc1C(=O)OCC,0.021002179781050196,Tetko et al. 2001,None,84-66-2,A64,25.0
CpId_207,ethyl-p-hydroxybenzoate,CCOC(=O)c1ccc(O)cc1,0.11825635097302192,Tetko et al. 2001,None,120-47-8,A64,25.0
CpId_210,cycluron,CN(C)C(=O)NC1CCCCCCC1,0.0716077820103684,Tetko et al. 2001,None,2163-69-1,A64,25.0
CpId_211,4-methylthiopteridine,CSc1ncnc2nccnc12,0.24661035393240624,Tetko et al. 2001,None,6966-78-5,A64,25.0
CpId_212,2-mercaptopteridine,S=c1ncc2nccnc2[nH]1,0.188007092064812,Tetko et al. 2001,None,16878-76-5,A64,25.0
CpId_213,phenacetin,CCOc1ccc(NC(C)=O)cc1,0.04793825699289129,Tetko et al. 2001,None,62-44-2,A64,25.0
CpId_216,"1,2-dibromo-3-chloropropane",ClCC(Br)CBr,0.04426023691112116,Tetko et al. 2001,None,96-12-8,A64,25.0
CpId_217,phthalonitrile,N#Cc1ccccc1C#N,0.06331122070112588,Tetko et al. 2001,None,91-15-6,A64,25.0
CpId_218,allopurinol,Oc1ncnc2[nH]ncc12,0.052853346066982304,Tetko et al. 2001,None,315-30-0,A64,25.0
CpId_222,"1,1-dichlorobutane",CCCC(Cl)Cl,0.001898683754604748,Tetko et al. 2001,None,541-33-3,A64,25.0
CpId_223,methyl-4-methoxybenzoate,COC(=O)c1ccc(OC)cc1,0.02392989761783369,Tetko et al. 2001,None,121-98-2,A64,25.0
CpId_224,sulfamethiazole,Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,0.7889625496573996,Tetko et al. 2001,None,144-82-1,A64,25.0
CpId_225,4-nitroanisole,COc1ccc([N+](=O)[O-])cc1,0.0034791442115043193,Tetko et al. 2001,None,100-17-4,A64,25.0
CpId_228,methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,0.003188825976924912,Tetko et al. 2001,None,56-04-2,A64,25.0
CpId_229,sulfathiozole,Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1,0.3093543275921642,Tetko et al. 2001,None,72-14-0,A64,25.0
CpId_230,oxycarboxin,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.07050770663157645,Tetko et al. 2001,None,5259-88-1,A64,25.0
CpId_231,3-nitrotoluene,Cc1cccc([N+](=O)[O-])c1,0.008667922985865098,Tetko et al. 2001,None,99-08-1,A64,25.0
CpId_232,sulfamoxole,Cc1nc([N-]S(=O)(=O)c2ccc(N)cc2)oc1C,0.12019983361053371,Tetko et al. 2001,None,729-99-7,A64,25.0
CpId_233,5-methyl-2-thiouracil,Cc1cnc(S)nc1O,0.0022516660498396773,Tetko et al. 2001,None,636-26-0,A64,25.0
CpId_234,dichlorprop,CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-],0.1718042124311592,Tetko et al. 2001,None,120-36-5,A64,25.0
CpId_235,chloramben,Nc1cc(Cl)cc(C(=O)[O-])c1Cl,0.27239825361303,Tetko et al. 2001,None,133-90-4,A64,25.0
CpId_236,terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,0.0034641016151378055,Tetko et al. 2001,None,5902-51-2,A64,25.0
CpId_237,cinnamic acid,O=C([O-])C=Cc1ccccc1,0.040951323654930906,Tetko et al. 2001,None,621-82-9,A64,25.0
CpId_238,propachlor,CC(C)N(C(=O)CCl)c1ccccc1,0.1788731425091847,Tetko et al. 2001,None,1918-16-7,A64,25.0
CpId_239,"2,4-d",O=C([O-])COc1ccc(Cl)cc1Cl,0.11962322322908002,Tetko et al. 2001,None,94-75-7,A64,25.0
CpId_240,demeclocycline,C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,0.01798151828962173,Tetko et al. 2001,None,127-33-3,A64,25.0
CpId_241,pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.06676359620165602,Tetko et al. 2001,None,76-74-4,A64,25.0
CpId_242,"4,5-dichloroquiaiacol",COc1cc(Cl)c(Cl)cc1O,0.0,Tetko et al. 2001,None,2460-49-3,A64,25.0
CpId_244,p-fluorobenzyl chloride,Fc1ccc(CCl)cc1,0.002140093455903264,Tetko et al. 2001,None,352-11-4,A64,25.0
CpId_245,5-hydroxyquinoline,Oc1cccc2ncccc12,0.0010205040771248332,Tetko et al. 2001,None,578-67-6,A64,25.0
CpId_246,sulfamethomidine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,0.0013416407864999247,Tetko et al. 2001,None,3772-76-7,A64,25.0
CpId_247,Mecoprop,Cc1cc(Cl)ccc1OC(C)C(=O)[O-],0.06713699190325835,Tetko et al. 2001,None,93-65-2,A64,25.0
CpId_248,pyracarbolid,CC1=C(C(=O)Nc2ccccc2)CCCO1,0.0,Tetko et al. 2001,None,24691-76-7,A64,25.0
CpId_249,amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.05803294453597154,Tetko et al. 2001,None,57-43-2,A64,25.0
CpId_250,sulfameter,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.002065591117977291,Tetko et al. 2001,None,651-06-9,A64,25.0
CpId_253,m-chlorobenzoic acid,O=C([O-])c1cccc(Cl)c1,0.023788002177968712,Tetko et al. 2001,None,535-80-8,A64,25.0
CpId_255,antazoline,c1ccc(CN(CC2=[NH+]CCN2)c2ccccc2)cc1,0.0010337364804973424,Tetko et al. 2001,None,91-75-8,A64,25.0
CpId_256,pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,0.011023963796102421,Tetko et al. 2001,None,76-01-7,A64,25.0
CpId_257,ancymidol,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,0.0020701966780270645,Tetko et al. 2001,None,12771-68-5,A64,25.0
CpId_258,benazolin,O=C([O-])Cn1c(=O)sc2cccc(Cl)c21,0.000627921742166757,Tetko et al. 2001,None,None,A64,25.0
CpId_259,sulfamethoxazole,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1,0.16441997619337065,Tetko et al. 2001,None,723-46-6,A64,25.0
CpId_260,n-heptyl carbamate,CCCCCCCOC(N)=O,0.0,Tetko et al. 2001,None,4248-20-8,A64,25.0
